Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
AID_DM_958,12,1,1,1,0,-1,0,97200,498.9841667,0,0,0,0,0,RhodeIsland,1
AID_DM_963,2,1,1,1,0,-1,0,97200,495.4490909,0,0,0,0,0,ConnCentral,1
AID_DM_999,7,1,1,1,0,-1,0,97200,496.257,0,0,0,0,0,MaineSouth,1
AID101718,12,1,1,1,0,-1,0,97200,1626.832216,0,0,0,0,0,RhodeIsland,1
AID104236,12,1,1,1,0,-1,0,97200,1626.832216,0,0,0,0,0,RhodeIsland,1
AID104294,9,1,1,1,0,-1,0,97200,1626.832216,0,0,0,0,0,MassSE,1
AID104841,2,1,1,1,0,-1,0,97200,1626.832216,0,0,0,0,0,ConnCentral,1
AID104857,9,1,1,1,0,-1,0,97200,1626.832216,0,0,0,0,0,MassSE,1
AID106047,9,1,1,1,0,-1,0,97200,1765.510186,0,0,0,0,0,MassSE,1
AID106710,7,1,1,1,0,-1,0,97200,1151.494991,0,0,0,0,0,MaineSouth,1
